subtitle,authors,title,publishers,number_of_pages,physical_format,notes,works,publish_date,isbn_10,covers,full_title,isbn_13,last_modified,created,type,key,latest_revision,revision,source_records,name,id,publish_places,identifiers,pagination,classifications,copyright_date,table_of_contents,contributors,edition_name,oclc_numbers,languages,other_titles,subjects,links,subject_places,description,subject_times,excerpts,subject_people,series,lc_classifications,first_publish_date,dewey_number,physical_dimensions,first_sentence,weight,translation_of,by_statement,translated_from,dewey_decimal_class,ocaid,location,publish_country,personal_name
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}","{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}",{'key': '/type/author'},/authors/OL9282177A,1,1,['amazon:1777158133'],Mick MacNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282177A'}}]",Alien Invasion The Chronicles,,,,,,,,[11300973],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}","{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}",{'key': '/type/work'},/works/OL24625416W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keep your eye on the sky,[{'key': '/authors/OL9282177A'}],Alien Invasion The Chronicles,['Nosepeople Productions'],158,paperback,"{'type': '/type/text', 'value': 'Source title: Alien Invasion The Chronicles: Keep your eye on the sky'}",[{'key': '/works/OL24625416W'}],"May 09, 2020",['1777158133'],[11300973],Alien Invasion The Chronicles : Keep your eye on the sky,['9781777158132'],"{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}","{'type': '/type/datetime', 'value': '2021-06-24T12:52:06.135047'}",{'key': '/type/edition'},/books/OL32672711M,1,1,['amazon:1777158133'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}","{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}",{'key': '/type/author'},/authors/OL9282176A,1,1,['amazon:2914412681'],Nicole Caligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282176A'}}]",Medium is mess,,,,,,,,[11300972],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}","{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}",{'key': '/type/work'},/works/OL24625415W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9282176A'}],Medium is mess,['INVENTAIRE'],,paperback,"{'type': '/type/text', 'value': 'Source title: Medium is mess (French Edition)'}",[{'key': '/works/OL24625415W'}],"Oct 16, 2007",['2914412681'],[11300972],,['9782914412681'],"{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}","{'type': '/type/datetime', 'value': '2021-06-24T12:51:51.835525'}",{'key': '/type/edition'},/books/OL32672710M,1,1,['amazon:2914412681'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9097657A'}}]",Oeuvres de J.-B. Poquelin de Molière. Tome 7 Le Bourgeois Gentilhomme,,,,,,,,[11300971],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:51:04.735882'}","{'type': '/type/datetime', 'value': '2021-06-24T12:51:04.735882'}",{'key': '/type/work'},/works/OL24625414W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9097657A'}],Oeuvres de J.-B. Poquelin de Molière. Tome 7 Le Bourgeois Gentilhomme,"['Hachette Livre - BNF', 'HACHETTE LIVRE-BNF']",278,paperback,"{'type': '/type/text', 'value': 'Source title: Oeuvres de J.-B. Poquelin de Molière. Tome 7 Le Bourgeois Gentilhomme (Litterature) (French Edition)'}",[{'key': '/works/OL24625414W'}],"Feb 28, 2018",['2011868769'],[11300971],,['9782011868763'],"{'type': '/type/datetime', 'value': '2021-06-24T12:51:04.735882'}","{'type': '/type/datetime', 'value': '2021-06-24T12:51:04.735882'}",{'key': '/type/edition'},/books/OL32672709M,1,1,['amazon:2011868769'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}",{'key': '/type/author'},/authors/OL9282175A,1,1,['amazon:2732892262'],"Baudouin,Bernard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282175A'}}]",Entrez dans... le monde extraordinaire du chamanisme,,,,,,,,[11300970],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}",{'key': '/type/work'},/works/OL24625413W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9282175A'}],Entrez dans... le monde extraordinaire du chamanisme,['DE VECCHI'],,paperback,"{'type': '/type/text', 'value': 'Source title: Entrez dans... le monde extraordinaire du chamanisme (French Edition)'}",[{'key': '/works/OL24625413W'}],"Nov 26, 2008",['2732892262'],[11300970],,['9782732892269'],"{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:19.576715'}",{'key': '/type/edition'},/books/OL32672708M,1,1,['amazon:2732892262'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}",{'key': '/type/author'},/authors/OL9282174A,1,1,['amazon:2930211423'],Jean Polis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282174A'}}]",Yi Jing universel,,,,,,,,[11300969],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}",{'key': '/type/work'},/works/OL24625412W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9282174A'}],Yi Jing universel,['SAFRAN'],224,paperback,"{'type': '/type/text', 'value': 'Source title: Yi Jing universel (French Edition)'}",[{'key': '/works/OL24625412W'}],"Nov 10, 2005",['2930211423'],[11300969],,['9782930211428'],"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.179210'}",{'key': '/type/edition'},/books/OL32672706M,1,1,['amazon:2930211423'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.175386'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.175386'}",{'key': '/type/author'},/authors/OL9282173A,1,1,['amazon:2930211423'],Jean Polis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282173A'}}]",Yi Jing universel,,,,,,,,[11300968],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.175386'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.175386'}",{'key': '/type/work'},/works/OL24625411W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9282173A'}],Yi Jing universel,['SAFRAN'],224,paperback,"{'type': '/type/text', 'value': 'Source title: Yi Jing universel (French Edition)'}",[{'key': '/works/OL24625411W'}],"Nov 10, 2005",['2930211423'],[11300968],,['9782930211428'],"{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.175386'}","{'type': '/type/datetime', 'value': '2021-06-24T12:50:11.175386'}",{'key': '/type/edition'},/books/OL32672707M,1,1,['amazon:2930211423'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL3768657A'}}]",Unbecoming You,,,,,,,,[11300966],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:49:35.592057'}","{'type': '/type/datetime', 'value': '2021-06-24T12:49:35.592057'}",{'key': '/type/work'},/works/OL24625410W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL3768657A'}],Unbecoming You,['Paperheartbook'],254,paperback,,[{'key': '/works/OL24625410W'}],"Sep 23, 2020",['1735505358'],[11300966],,['9781735505350'],"{'type': '/type/datetime', 'value': '2021-06-24T12:49:35.592057'}","{'type': '/type/datetime', 'value': '2021-06-24T12:49:35.592057'}",{'key': '/type/edition'},/books/OL32672705M,1,1,['amazon:1735505358'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seine letzte Frau,['Kaiser'],156,Taschenbuch,,[{'key': '/works/OL14857794W'}],197x,,[11300965],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:50:13.896545'}","{'type': '/type/datetime', 'value': '2021-06-24T12:49:10.389910'}",{'key': '/type/edition'},/books/OL32672704M,3,3,,,,,,,,,,,,,[{'key': '/languages/ger'}],,,,,,,,,['Kaiser Krimi 040'],,,,,,,The Last Woman in His Life,,[{'key': '/languages/eng'}],,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:48:00.229283'}","{'type': '/type/datetime', 'value': '2021-06-24T12:48:00.229283'}",{'key': '/type/author'},/authors/OL9282172A,1,1,['amazon:2016160713'],BOURGUIGNAT-J-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282172A'}}]","Ossements de Canidae constatés en France, à l'état fossile, pendant la période quaternaire",,,,,,,,[11300964],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:48:00.229283'}","{'type': '/type/datetime', 'value': '2021-06-24T12:48:00.229283'}",{'key': '/type/work'},/works/OL24625409W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9282172A'}],"Ossements de Canidae constatés en France, à l'état fossile, pendant la période quaternaire","['Hachette Livre - BNF', 'HACHETTE LIVRE-BNF']",80,paperback,"{'type': '/type/text', 'value': ""Source title: Ossements de Canidae constatés en France, à l'état fossile, pendant la période quaternaire (Sciences Sociales) (French Edition)""}",[{'key': '/works/OL24625409W'}],"Feb 28, 2018",['2016160713'],[11300964],,['9782016160718'],"{'type': '/type/datetime', 'value': '2021-06-24T12:48:00.229283'}","{'type': '/type/datetime', 'value': '2021-06-24T12:48:00.229283'}",{'key': '/type/edition'},/books/OL32672703M,1,1,['amazon:2016160713'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:45:53.053532'}","{'type': '/type/datetime', 'value': '2021-06-24T12:45:53.053532'}",{'key': '/type/author'},/authors/OL9282171A,1,1,['amazon:2940430977'],Julie Bastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282171A'}}]","Jeux de table, de taverne et de dés médiévaux",,,,,,,,[11300963],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:45:53.053532'}","{'type': '/type/datetime', 'value': '2021-06-24T12:45:53.053532'}",{'key': '/type/work'},/works/OL24625408W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9282171A'}],"Jeux de table, de taverne et de dés médiévaux",['AMBRE'],128,paperback,"{'type': '/type/text', 'value': 'Source title: Jeux de table, de taverne et de dés médiévaux (French Edition)'}",[{'key': '/works/OL24625408W'}],"Jul 13, 2012",['2940430977'],[11300963],,['9782940430970'],"{'type': '/type/datetime', 'value': '2021-06-24T12:45:53.053532'}","{'type': '/type/datetime', 'value': '2021-06-24T12:45:53.053532'}",{'key': '/type/edition'},/books/OL32672702M,1,1,['amazon:2940430977'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Archäologie des Signifikanten,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:46:22.170930'}","{'type': '/type/datetime', 'value': '2021-06-24T12:42:50.199692'}",{'key': '/type/work'},/works/OL24625407W,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musik und Philosophie im Gespräch,,Archäologie des Signifikanten,['Königshausen & Neumann'],163,Paperback,,[{'key': '/works/OL24625407W'}],2020,,[11300967],,['9783826063480'],"{'type': '/type/datetime', 'value': '2021-06-24T12:50:01.581568'}","{'type': '/type/datetime', 'value': '2021-06-24T12:42:50.199692'}",{'key': '/type/edition'},/books/OL32672701M,3,3,,,,['Würzburg'],,,,2020,,"[{'name': 'Marcello La Matina', 'role': 'Author'}, {'name': 'Roswita Bertelsons', 'role': 'Translator'}, {'role': 'Cover Design', 'name': 'Henrietta Teresa La Matina'}]",First edition,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9111506A'}}]",L'étrange pouvoir des calamités,,,,,,,,[11300962],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:41:55.957481'}","{'type': '/type/datetime', 'value': '2021-06-24T12:41:55.957481'}",{'key': '/type/work'},/works/OL24625406W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9111506A'}],L'étrange pouvoir des calamités,['EYROLLES'],282,paperback,"{'type': '/type/text', 'value': ""Source title: L'étrange pouvoir des calamités (Aparté) (French Edition)""}",[{'key': '/works/OL24625406W'}],"May 13, 2021",['2416000624'],[11300962],,['9782416000621'],"{'type': '/type/datetime', 'value': '2021-06-24T12:41:55.957481'}","{'type': '/type/datetime', 'value': '2021-06-24T12:41:55.957481'}",{'key': '/type/edition'},/books/OL32672700M,1,1,['amazon:2416000624'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9111506A'}}]",L'étrange pouvoir des calamités,,,,,,,,[11300961],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:41:55.952776'}","{'type': '/type/datetime', 'value': '2021-06-24T12:41:55.952776'}",{'key': '/type/work'},/works/OL24625405W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9111506A'}],L'étrange pouvoir des calamités,['EYROLLES'],282,paperback,"{'type': '/type/text', 'value': ""Source title: L'étrange pouvoir des calamités (Aparté) (French Edition)""}",[{'key': '/works/OL24625405W'}],"May 13, 2021",['2416000624'],[11300961],,['9782416000621'],"{'type': '/type/datetime', 'value': '2021-06-24T12:41:55.952776'}","{'type': '/type/datetime', 'value': '2021-06-24T12:41:55.952776'}",{'key': '/type/edition'},/books/OL32672699M,1,1,['amazon:2416000624'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8229499A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL6161738A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL6770444A'}}]",Lettres pour lire au lit,,,,,,,,[11300960],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:39:23.912328'}","{'type': '/type/datetime', 'value': '2021-06-24T12:39:23.912328'}",{'key': '/type/work'},/works/OL24625404W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correspondance amoureuse,"[{'key': '/authors/OL8229499A'}, {'key': '/authors/OL6161738A'}, {'key': '/authors/OL6770444A'}]",Lettres pour lire au lit,['MERCURE DE FRAN'],304,paperback,"{'type': '/type/text', 'value': 'Source title: Lettres pour lire au lit: Correspondance amoureuse (1831-1838) (Le Temps retrouvé, format poche) (French Edition)'}",[{'key': '/works/OL24625404W'}],"Nov 08, 2013",['2715234759'],[11300960],Lettres pour lire au lit Correspondance amoureuse,['9782715234758'],"{'type': '/type/datetime', 'value': '2021-06-24T12:39:23.912328'}","{'type': '/type/datetime', 'value': '2021-06-24T12:39:23.912328'}",{'key': '/type/edition'},/books/OL32672696M,1,1,['amazon:2715234759'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL3982720A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL190343A'}}]",Der Gefangene des Sultans,,,,,,,,[11300958],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:34:14.583649'}","{'type': '/type/datetime', 'value': '2021-06-24T12:34:14.583649'}",{'key': '/type/work'},/works/OL24625402W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL3982720A'}, {'key': '/authors/OL190343A'}]",Der Gefangene des Sultans,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",244,paperback,"{'type': '/type/text', 'value': 'Source title: Der Gefangene des Sultans (Die ferne Zeit) (Volume 62) (German Edition)'}",[{'key': '/works/OL24625402W'}],"Jun 19, 2018",['1721032231'],[11300958],Der Gefangene des Sultans,['9781721032235'],"{'type': '/type/datetime', 'value': '2021-06-24T12:34:14.583649'}","{'type': '/type/datetime', 'value': '2021-06-24T12:34:14.583649'}",{'key': '/type/edition'},/books/OL32672695M,1,1,['amazon:1721032231'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL744438A'}}]",Study Guide Student Workbook for Gertie’s Leap to Greatness,,,,,,,,[11300956],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:33:06.457840'}","{'type': '/type/datetime', 'value': '2021-06-24T12:33:06.457840'}",{'key': '/type/work'},/works/OL24625401W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL744438A'}],Study Guide Student Workbook for Gertie’s Leap to Greatness,"['Independently published', 'Independently Published']",94,paperback,,[{'key': '/works/OL24625401W'}],"Sep 10, 2018",['1720207607'],[11300956],Study Guide Student Workbook for Gertie’s Leap to Greatness,['9781720207603'],"{'type': '/type/datetime', 'value': '2021-06-24T12:33:06.457840'}","{'type': '/type/datetime', 'value': '2021-06-24T12:33:06.457840'}",{'key': '/type/edition'},/books/OL32672694M,1,1,['amazon:1720207607'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7546294A'}}]",Spring Notebook,,,,,,,,[11300955],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:32:06.713961'}","{'type': '/type/datetime', 'value': '2021-06-24T12:32:06.713961'}",{'key': '/type/work'},/works/OL24625400W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL7546294A'}],Spring Notebook,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",150,paperback,,[{'key': '/works/OL24625400W'}],"May 23, 2018",['1719593345'],[11300955],Spring Notebook,['9781719593342'],"{'type': '/type/datetime', 'value': '2021-06-24T12:32:06.713961'}","{'type': '/type/datetime', 'value': '2021-06-24T12:32:06.713961'}",{'key': '/type/edition'},/books/OL32672693M,1,1,['amazon:1719593345'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T12:28:32.348095'}","{'type': '/type/datetime', 'value': '2021-06-24T12:28:32.348095'}",{'key': '/type/author'},/authors/OL9282170A,1,1,['amazon:2130359582'],baud frederic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282170A'}}]",Relations humaines,,,,,,,,[11300954],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:28:32.348095'}","{'type': '/type/datetime', 'value': '2021-06-24T12:28:32.348095'}",{'key': '/type/work'},/works/OL24625398W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL9282170A'}],Relations humaines,['QUE SAIS JE'],128,paperback,"{'type': '/type/text', 'value': 'Source title: Relations humaines (les) (QUE SAIS-JE ?)'}",[{'key': '/works/OL24625398W'}],"Jan 08, 2001",['2130359582'],[11300954],Relations humaines,['9782130359586'],"{'type': '/type/datetime', 'value': '2021-06-24T12:28:32.348095'}","{'type': '/type/datetime', 'value': '2021-06-24T12:28:32.348095'}",{'key': '/type/edition'},/books/OL32672684M,1,1,['amazon:2130359582'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9236699A'}}]",Just a Girl Who Loves Dogo Argentino,,,,,,,,[11300953],,,"{'type': '/type/datetime', 'value': '2021-06-24T12:24:49.773367'}","{'type': '/type/datetime', 'value': '2021-06-24T12:24:49.773367'}",{'key': '/type/work'},/works/OL24625397W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
